Subject	StimRank	StimValue	StimName	StimNum	ValueGroup	Contingency	Go	Run	TrialInRun	Trial	TrialOnset	TrialOffset	Ladder	CueOnset	RT	KeyPressed	onsetPlanned	onset	duration
BM_112	60	0.3301544	1019.jpg	5	7	0.5	0	3	6	166	249.49663733202	250.948331944062	0.85	NaN	NaN	x	249.5	249.49663733202	1.45169461204205
BM_112	78	0.1876431	2045.jpg	50	0	0	0	3	7	167	250.998403500067	252.449954165029	0.85	NaN	NaN	x	251	250.998403500067	1.45155066496227
BM_112	30	0.6102596	2053.jpg	51	3	1	1	3	8	168	252.500022585038	253.95172016602	0.85	851.008186000399	1149.35955801047	b	252.5	252.500022585038	1.451697580982
BM_112	17	0.7278455	2248.jpg	79	2	1	1	3	9	169	254.001796652097	255.453417866025	0.85	850.938010960817	1207.57116994355	b	254	254.001796652097	1.45162121392787
BM_112	22	0.6592095	1035.jpg	9	2	0	0	3	10	170	255.503412001999	256.955056451028	0.85	NaN	NaN	x	255.5	255.503412001999	1.45164444902912
BM_112	38	0.4796713	2249.jpg	80	4	0	0	3	11	171	257.005211877055	258.456792679033	0.85	NaN	NaN	x	257	257.005211877055	1.45158080197871
BM_112	21	0.6699121	1057.jpg	12	2	1	1	3	12	172	258.506886084098	259.958431215025	0.85	850.895226933062	NaN	x	258.5	258.506886084098	1.45154513092712
BM_112	27	0.6350013	2054.jpg	52	3	1	1	3	13	173	260.008517091046	261.460141488002	0.85	850.979016977362	NaN	x	260	260.008517091046	1.45162439695559
BM_112	46	0.4302949	2229.jpg	77	5	1	1	3	14	174	261.493152549025	262.945119722048	0.85	851.278237067163	1052.22982901614	b	261.5	261.493152549025	1.45196717302315
BM_112	23	0.6536804	1146.jpg	22	2	0	0	3	15	175	262.995156250079	264.446878270013	0.85	NaN	926.201441907324	b	263	262.995156250079	1.4517220199341
BM_112	67	0.3003924	2217.jpg	74	8	1	1	3	16	176	264.496851889999	265.948486738023	0.85	850.931653054431	776.531327050179	b	264.5	264.496851889999	1.4516348480247
BM_112	62	0.3275659	1182.jpg	25	7	0.5	0	3	17	177	265.998590889038	267.450192593038	0.85	NaN	NaN	x	266	265.998590889038	1.4516017040005
BM_112	69	0.2849454	2094.jpg	56	8	0	0	3	18	178	267.500218045083	268.951894920086	0.85	NaN	853.150089969859	b	267.5	267.500218045083	1.45167687500361
BM_112	51	0.3693179	1145.jpg	21	6	0.5	1	3	19	179	269.001965380041	270.453560476075	0.85	850.876569049433	1103.3904539654	b	269	269.001965380041	1.451595096034
BM_112	50	0.3842407	2089.jpg	55	6	0.5	1	3	20	180	270.503585697035	271.955206708051	0.85	850.937198963948	NaN	x	270.5	270.503585697035	1.45162101101596
BM_112	55	0.3606323	2015.jpg	44	6	0	0	3	21	181	272.005252534989	273.456961738993	0.85	NaN	876.115492079407	b	272	272.005252534989	1.45170920400415
BM_112	58	0.3454806	2149.jpg	64	7	0	0	3	22	182	273.507003137027	274.958630344016	0.85	NaN	974.429373047315	b	273.5	273.507003137027	1.45162720698863
BM_112	15	0.7395006	1262.jpg	40	1	0.5	0	3	23	183	275.008695480996	276.460275493097	0.85	NaN	NaN	x	275	275.008695480996	1.45158001210075
BM_112	72	0.2267984	2110.jpg	57	8	0	0	3	24	184	276.493399169995	277.945333034033	0.85	NaN	NaN	x	276.5	276.493399169995	1.45193386403844
BM_112	41	0.4693346	2194.jpg	70	5	0	0	3	25	185	277.995376239065	279.447012125049	0.85	NaN	NaN	x	278	277.995376239065	1.45163588598371
BM_112	77	0.1943721	1130.jpg	19	0	0	0	3	26	186	279.497072646045	280.948684851988	0.85	NaN	NaN	x	279.5	279.497072646045	1.45161220594309
BM_112	43	0.440429	1050.jpg	10	5	1	1	3	27	187	280.998718945077	282.450348849059	0.85	850.980150979012	1130.67967595998	b	281	280.998718945077	1.45162990398239
BM_112	2	0.8513096	1150.jpg	23	0	0	0	3	28	188	282.500371968024	283.952049366082	0.85	NaN	NaN	x	282.5	282.500371968024	1.45167739805765
BM_112	53	0.3656329	2043.jpg	49	6	0.5	0	3	29	189	284.002080689068	285.453687648056	0.85	NaN	NaN	x	284	284.002080689068	1.45160695898812
BM_112	65	0.3141694	1115.jpg	17	8	0	0	3	30	190	285.503792310017	286.955479637021	0.85	NaN	NaN	x	285.5	285.503792310017	1.45168732700404
BM_112	32	0.5484327	1009.jpg	2	3	0	0	3	31	191	287.00547403004	288.457087794086	0.85	NaN	NaN	x	287	287.00547403004	1.45161376404576
BM_112	12	0.7704121	2154.jpg	66	1	0	0	3	32	192	288.50714889809	289.958844649023	0.85	NaN	NaN	x	288.5	288.50714889809	1.45169575093314
BM_112	47	0.4228113	1246.jpg	37	5	1	1	3	33	193	290.008867209079	291.460457080044	0.85	850.965195917524	1184.48675691616	b	290	290.008867209079	1.45158987096511
BM_112	56	0.3556008	2155.jpg	67	6	0.5	1	3	34	194	291.493637325009	292.945446231985	0.85	851.18761099875	1235.7829019893	b	291.5	291.493637325009	1.4518089069752
BM_112	7	0.797451	2118.jpg	60	0	0	0	3	35	195	292.995482185041	294.447145026061	0.85	NaN	NaN	x	293	292.995482185041	1.45166284102015
BM_112	79	0.1543162	2039.jpg	47	0	0	0	3	36	196	294.497222476057	295.948914898094	0.85	NaN	NaN	x	294.5	294.497222476057	1.45169242203701
BM_112	74	0.2211897	1052.jpg	11	0	0	0	3	37	197	295.998907758039	297.45048836607	0.85	NaN	NaN	x	296	295.998907758039	1.45158060803078
BM_112	10	0.7820717	1031.jpg	8	1	0.5	0	3	38	198	297.500604571076	298.952173595084	0.85	NaN	NaN	x	297.5	297.500604571076	1.45156902400777
BM_112	5	0.8288055	2024.jpg	46	0	0	0	3	39	199	299.002244770993	300.453890995006	0.85	NaN	NaN	x	299	299.002244770993	1.45164622401353
BM_112	59	0.341486	1220.jpg	34	7	0	0	3	40	200	300.503944403026	301.955637558014	0.85	NaN	NaN	x	300.5	300.503944403026	1.45169315498788
BM_112	63	0.3251193	2008.jpg	42	7	0.5	0	3	41	201	302.005625967053	303.457301972085	0.85	NaN	NaN	x	302	302.005625967053	1.45167600503191
BM_112	25	0.6390235	1183.jpg	26	3	0	0	3	42	202	303.50739767903	304.958982496057	0.85	NaN	NaN	x	303.5	303.50739767903	1.45158481702674
BM_112	54	0.3627308	1017.jpg	4	6	0	0	3	43	203	305.009013768984	306.460678792093	0.85	NaN	NaN	x	305	305.009013768984	1.45166502310894
